,Trial,filekey,Phase,Start,End,notes
0,210811_animal_trial_1,01,PREP,2021-08-11 03:01:31.550000,2021-08-11 03:34:35.126000,
1,210824_animal_trial_2,01,PREP,2021-08-24 02:44:41.042000+00:00,2021-08-24 03:10:13.660000+00:00,
2,210914_animal_trial_3,01,PREP,2021-09-14 02:50:34.435000+00:00,2021-09-14 03:20:33.249000+00:00,
3,210914_animal_trial_3,01,TIP2,2021-09-14 02:48:22.805000+00:00,2021-09-14 02:50:34.435000+00:00,
4,210928_animal_trial_4,01,PREP,2021-09-28 02:55:41.672000+00:00,2021-09-28 03:27:55.024000+00:00,
5,210928_animal_trial_4,01,TIP2,2021-09-28 02:51:13.105000+00:00,2021-09-28 02:55:41.672000+00:00,
6,211012_animal_trial_5,01,PREP,2021-10-12 02:59:17.183000+00:00,2021-10-12 03:26:19.123000+00:00,
7,211012_animal_trial_5,01,TIP2,2021-10-12 02:57:27.114000+00:00,2021-10-12 02:59:17.183000+00:00,
8,211019_animal_trial_6,01,PREP,2021-10-19 02:57:42.726000+00:00,2021-10-19 03:24:39.895000+00:00,
9,211019_animal_trial_6,01,TIP2,2021-10-19 02:55:36.360000+00:00,2021-10-19 02:57:42.726000+00:00,
10,211026_animal_trial_7,01,PREP,2021-10-26 02:52:09.677000+00:00,2021-10-26 03:25:12.272000+00:00,
11,211102_animal_trial_8,01,PREP,2021-11-02 03:58:14.770000+00:00,2021-11-02 04:29:00.185000+00:00,
12,211102_animal_trial_8,01,TIP2,2021-11-02 03:53:47.238000+00:00,2021-11-02 03:58:14.770000+00:00,
13,211109_animal_trial_9,01,PREP,2021-11-09 04:02:44.394000+00:00,2021-11-09 04:35:49.403000+00:00,
14,211116_animal_trial_10,01,PREP,2021-11-16 04:08:06.411000+00:00,2021-11-16 04:36:17.608000+00:00,
15,211116_animal_trial_10,01,TIP2,2021-11-16 04:02:14.740000+00:00,2021-11-16 04:08:06.411000+00:00,
16,211123_animal_trial_11,01,PREP,2021-11-23 04:15:41.208000+00:00,2021-11-23 04:17:32.173000+00:00,
17,211130_animal_trial_12,01,PREP,2021-11-30 04:06:09.765000+00:00,2021-11-30 04:24:30.714000+00:00,
18,211130_animal_trial_13,06,PREP,2021-11-30 13:26:45.095000+00:00,2021-11-30 13:34:15.227000+00:00,
19,211207_animal_trial_14,01,PREP,2021-12-07 04:15:22.722000+00:00,2021-12-07 05:04:57.328000+00:00,
20,211210_animal_trial_16,01,PREP,2021-12-10 04:16:51.255000+00:00,2021-12-10 04:32:30.462000+00:00,
21,211214_animal_trial_17,01,PREP,2021-12-14 04:21:23.247000+00:00,2021-12-14 04:24:59.244000+00:00,
